PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
1920,4239390,3234497,Inactive,0,,,Inactive,,,,,,,,,,4,,-39.01,,,13.66,,8.799,,-38.65,,23.87,,41.07,,-6.339,,-39.01,QC'd by Pharmacopeia
1921,4239391,3234498,Active,42,,,Inhibitor,15.8489,117.475,,Partial curve; high efficacy,-4.8,0.9,0.9439,-123.713,-6.2372,-2.1,0 0 0 0 0 0 0,-97.03,,,-14.98,,6.924,,-5.525,,-22.44,,-19.42,,-54.37,,-97.03,QC'd by Pharmacopeia
1922,4239392,3234499,Inconclusive,21,,,Inhibitor,19.9526,73.8039,,Partial curve; partial efficacy,-4.7,1.8617,0.9667,-69.2878,4.5161,-2.2,1 0 0 0 0 0 0,-59.85,,,-14.39,,1.398,,-2.502,,9.828,,8.185,,-16.09,,-59.85,QC'd by Pharmacopeia
1923,4239393,3234500,Inactive,0,,,Inactive,,,,,,,,,,4,,41.54,,,14.13,,-9.605,,13.77,,18.86,,-23.75,,-17.41,,41.54,QC'd by Pharmacopeia
1924,4239394,3234501,Active,49,,,Inhibitor,1.2589,148.075,,Partial curve; high efficacy,-5.9,0.4,0.9014,-125.072,23.0022,-2.1,0 0 0 0 0 0 0,-95.38,,,22.58,,-11.71,,-32.02,,-14.83,,-58.73,,-90.73,,-95.38,QC'd by Pharmacopeia
1925,4239395,3234502,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.19,,,43.69,,-4.232,,23.56,,-6.942,,-6.474,,-1.07,,-30.19,QC'd by Pharmacopeia
1926,4239396,3234503,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.6275,,,22.5,,103.9,,15.13,,7.844,,14.82,,-6.967,,-0.6275,QC'd by Pharmacopeia
1927,4239397,3234504,Inactive,0,,,Inactive,,,,,,,,,,4,,7.583,,,-0.107,,-9.334,,-18.44,,2.065,,-9.917,,-3.213,,7.583,QC'd by Pharmacopeia
1928,4239398,3234505,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.72,,,4.551,,-0.4595,,9.83,,-17.87,,19.06,,35.07,,-21.72,QC'd by Pharmacopeia
1929,4239399,3234506,Inactive,0,,,Inactive,,,,,,,,,,4,,11.21,,,-4.207,,4.278,,-17.94,,-3.699,,11.67,,37.68,,11.21,QC'd by Pharmacopeia
1930,4239400,3234507,Inconclusive,20,,,Inhibitor,31.6228,56.2668,,Single point of activity,-4.5,2.4729,0.9534,-66.8189,-10.5521,-3,0 0 0 0 1 0 0,-56.15,,,-7.193,,-6.761,,-18.06,,-9.999,,16.17,,-14.9,,-56.15,QC'd by Pharmacopeia
1931,4239401,3234508,Inactive,0,,,Inactive,,,,,,,,,,4,,6.187,,,16.9,,84.81,,-3.636,,4.95,,-0.0312,,23.46,,6.187,QC'd by Pharmacopeia
1932,4239402,3234509,Inactive,0,,,Inactive,,,,,,,,,,4,,4.023,,,-0.5252,,6.84,,-1.053,,5.104,,-4.902,,24.94,,4.023,QC'd by Pharmacopeia
1933,4239403,3234510,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.28,,,1.206,,0.1064,,36.6,,23.61,,17.8,,-3.24,,-16.28,QC'd by Pharmacopeia
1934,4239404,3234511,Active,83,,,Inhibitor,7.9433,92.2941,,Complete curve; high efficacy,-5.1,4.5045,0.9811,-102.581,-10.2868,-1.1,0 0 0 0 0 0 0,-102.2,,,-13.29,,-12.23,,0.6675,,-14.21,,-17.45,,-88.3,,-102.2,QC'd by Pharmacopeia
1935,4239405,3234512,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.506,,,6.629,,-6.917,,-7.816,,-3.65,,0.4848,,-11.91,,-3.506,QC'd by Pharmacopeia
1936,4239406,3234513,Active,88,,,Inhibitor,0.631,95.5355,,Complete curve; high efficacy,-6.2,1.5095,0.9911,-93.9888,1.5466,-1.1,0 0 0 0 0 0 0,-94.22,,,-2.336,,8.889,,-8.423,,-32.2,,-83.42,,-92.59,,-94.22,QC'd by Pharmacopeia
1937,4239407,3234514,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.519,,,0.1866,,31.74,,4.733,,-0.551,,3.417,,7.974,,-6.519,QC'd by Pharmacopeia
1938,4239408,3234515,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.37,,,-12.15,,7.935,,-4.916,,21.58,,7.746,,28.92,,-11.37,QC'd by Pharmacopeia
1939,4239409,3234516,Inconclusive,20,,,Inhibitor,25.1189,81.1395,,Single point of activity,-4.6,2.2481,0.8641,-76.323,4.8165,-3,0 0 0 0 0 0 0,-65.38,,,-3.85,,-11.63,,15.47,,18.29,,4.51,,-6.743,,-65.38,QC'd by Pharmacopeia
1940,4239410,3234517,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.939,,,-11.75,,-7.766,,9.347,,49.21,,-38.42,,-33.37,,-1.939,QC'd by Pharmacopeia
1941,4239411,3234518,Active,100,,,Inhibitor,0.0032,108.2,,Complete curve; high efficacy,-8.5,0.7,0.9888,-103.537,4.663,-1.1,0 0 0 0 0 0 0,-104.9,,,-52.49,,-79.57,,-91.71,,-103.3,,-99.81,,-103.1,,-104.9,QC'd by Pharmacopeia
1942,4239412,3234519,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.51,,,-7.494,,-32.88,,-14.42,,-0.0425,,18.62,,14.86,,-41.51,QC'd by Pharmacopeia
1943,4239413,3234520,Active,41,,,Inhibitor,19.9526,79.04,,Partial curve; partial efficacy,-4.7,2.4064,0.8463,-82.585,-3.545,-2.2,0 0 0 1 0 0 0,-76.7,,,-17.6,,-5.747,,-10.45,,104.2,,18.75,,-18.28,,-76.7,QC'd by Pharmacopeia
1944,4239414,3234521,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.48,,,16.88,,-9.144,,4.007,,-0.8029,,1.519,,4.315,,-44.48,QC'd by Pharmacopeia
1945,4239415,3234522,Inconclusive,20,,,Inhibitor,31.6228,55.731,,Single point of activity,-4.5,4.5045,0.8832,-54.196,1.535,-3,0 0 0 0 0 1 0,-50.58,,,-3.507,,14.07,,-3.022,,-6.986,,6.138,,71.45,,-50.58,QC'd by Pharmacopeia
1946,4239416,3234523,Inactive,0,,,Activator,12.5893,96.423,,Single point of activity,-4.9,0.7,0.8083,76.721,-19.702,3,1 0 0 0 0 0 0,59.31,,,21.83,,-17.16,,-9.99,,-31.03,,22.25,,14.92,,59.31,QC'd by Pharmacopeia
1947,4239417,3234524,Inconclusive,20,,,Inhibitor,39.8107,92.082,,Single point of activity,-4.4,4.4495,0.782,-77.665,14.417,-3,0 0 0 0 0 0 0,-62.29,,,5.522,,25.03,,36.05,,-12.65,,15.71,,15.03,,-62.29,QC'd by Pharmacopeia
1948,4239418,3234525,Inactive,0,,,Inactive,,,,,,,,,,4,,2.079,,,-6.017,,3.083,,-10.05,,-0.751,,2.356,,-2.218,,2.079,QC'd by Pharmacopeia
1949,4239419,3234526,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.486,,,-0.243,,-2.549,,-14.79,,4.25,,7.118,,-15.75,,-2.486,QC'd by Pharmacopeia
1950,4239420,3234527,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.44,,,-2.27,,13.15,,24.17,,1.812,,-6.94,,-19.83,,-11.44,QC'd by Pharmacopeia
1951,4239421,3234528,Active,43,,,Inhibitor,6.3096,92.54,,Partial curve; high efficacy,-5.2,0.9,0.9811,-92.8705,-0.3305,-2.1,0 0 0 0 0 0 0,-82.95,,,0.3548,,-5.552,,-2.989,,-0.956,,-32.45,,-55.4,,-82.95,QC'd by Pharmacopeia
1952,4239422,3234529,Active,40,,,Inhibitor,39.8107,66.601,,Partial curve; high efficacy,-4.4,4.9549,0.9937,-89.922,-23.321,-2.1,1 1 0 0 0 0 0,-80.32,,,-45.08,,10.55,,-24.17,,-22.38,,-26.01,,-20.7,,-80.32,QC'd by Pharmacopeia
1953,4239423,3234530,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.47,,,-4.344,,26.65,,-1.328,,53.91,,15.49,,25.1,,-2.47,QC'd by Pharmacopeia
1954,4239424,3234531,Inconclusive,20,,,Inhibitor,31.6228,65.412,,Single point of activity,-4.5,2.1211,0.5506,-72.967,-7.555,-3,0 0 0 0 1 0 0,-58.26,,,-25.2,,27.29,,-19.45,,-12.52,,133.8,,-14.33,,-58.26,QC'd by Pharmacopeia
1955,4239425,3234532,Inactive,0,,,Inactive,,,,,,,,,,4,,28.39,,,0.0791,,35.74,,3.534,,-2.385,,-14.27,,7.976,,28.39,QC'd by Pharmacopeia
1956,4239426,3234533,Inactive,0,,,Inactive,,,,,,,,,,4,,-11.5,,,47.11,,47.3,,-45.6,,0.5297,,6.013,,40.11,,-11.5,QC'd by Pharmacopeia
1957,4239427,3234534,Active,42,,,Inhibitor,10,100.644,,Partial curve; partial efficacy,-5,1.9282,0.9596,-83.463,17.1815,-2.2,1 0 0 0 0 0 0,-78.23,,,24.5,,2.893,,24.69,,25.9,,10.23,,-42.28,,-78.23,QC'd by Pharmacopeia
1958,4239428,3234535,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.212,,,-35.87,,-41.73,,-41.38,,9.649,,-6.304,,-5.573,,-8.212,QC'd by Pharmacopeia
1959,4239429,3234536,Active,44,,,Inhibitor,5.0119,87.2004,,Partial curve; high efficacy,-5.3,1,0.9775,-100.67,-13.4697,-2.1,0 0 0 0 0 0 0,-95.19,,,-13.55,,-22.13,,-8.137,,-17.35,,-43.98,,-71.49,,-95.19,QC'd by Pharmacopeia
1960,4239430,3234537,Active,45,,,Inhibitor,2.5119,117.363,,Partial curve; partial efficacy,-5.6,0.5,0.8354,-84.531,32.832,-2.2,0 1 0 0 0 0 0,-67.45,,,23.08,,173.1,,35.15,,-28.16,,-14.92,,-43.14,,-67.45,QC'd by Pharmacopeia
1961,4239431,3234538,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.19,,,7.507,,-15.26,,-23.98,,-0.1934,,-1.404,,24.46,,-42.19,QC'd by Pharmacopeia
1962,4239432,3234539,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.63,,,8.518,,18.29,,19.8,,14.14,,14.29,,-7.715,,-19.63,QC'd by Pharmacopeia
1963,4239433,3234540,Inactive,0,,,Inactive,,,,,,,,,,4,,36.87,,,13.89,,-17.85,,12.03,,-35.5,,12.29,,13.42,,36.87,QC'd by Pharmacopeia
1964,4239434,3234541,Active,85,,,Inhibitor,2.5119,93.809,,Complete curve; high efficacy,-5.6,1.1,0.9921,-92.123,1.686,-1.1,0 1 0 0 0 0 0,-90.65,,,-2.232,,-51.34,,2.49,,-8.702,,-47.01,,-73.64,,-90.65,QC'd by Pharmacopeia
1965,4239435,3234542,Inactive,0,,,Inactive,,,,,,,,,,4,,23.74,,,-11.74,,-26.55,,6.803,,-14.69,,15.84,,18.33,,23.74,QC'd by Pharmacopeia
1966,4239436,3234543,Inactive,0,,,Inactive,,,,,,,,,,4,,-44.37,,,-3.406,,4.315,,11.67,,5.316,,6.524,,11.43,,-44.37,QC'd by Pharmacopeia
1967,4239437,3234544,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.86,,,24.95,,5.522,,28.74,,-7.34,,11.43,,34.04,,-10.86,QC'd by Pharmacopeia
1968,4239438,3234545,Inconclusive,20,,,Inhibitor,39.8107,101.686,,Single point of activity,-4.4,4.9549,0.7667,-94.1152,7.5712,-3,0 0 0 0 0 0 0,-79.4,,,-14.48,,7.044,,-0.1809,,-8.554,,24.22,,37.08,,-79.4,QC'd by Pharmacopeia
1969,4239439,3234546,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.86,,,-17.59,,1.797,,-0.2009,,10.15,,-17.48,,15.28,,-42.86,QC'd by Pharmacopeia
1970,4239440,3234547,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.576,,,-10.67,,-6.428,,-8.433,,-39.51,,-28.73,,24.03,,-5.576,QC'd by Pharmacopeia
1971,4239441,3234548,Active,90,,,Inhibitor,0.2512,99.7985,,Complete curve; high efficacy,-6.6,2.3531,0.9818,-96.9162,2.8823,-1.1,0 0 0 0 0 0 0,-101.9,,,-7.533,,13.39,,-6.065,,-75.42,,-91.83,,-98.84,,-101.9,QC'd by Pharmacopeia
1972,4239442,3234549,Inconclusive,20,,,Inhibitor,12.5893,78.2195,,Partial curve; partial efficacy; poor fit,-4.9,2.7202,0.7717,-70.7052,7.5143,-2.4,1 0 0 0 0 0 0,-68.94,,,-23.85,,-22.28,,11.38,,31.25,,8.96,,-27.99,,-68.94,QC'd by Pharmacopeia
1973,4239443,3234550,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.03,,,18.96,,50.15,,9.547,,18.2,,15.77,,-4.39,,-41.03,QC'd by Pharmacopeia
1974,4239444,3234551,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-55.3,,,-22.58,,-22.37,,-16.2,,33.64,,-11.9,,3.379,,-55.3,QC'd by Pharmacopeia
1975,4239445,3234552,Active,44,,,Inhibitor,6.3096,88.748,,Partial curve; high efficacy,-5.2,0.9,0.9979,-106.918,-18.17,-2.1,1 0 0 1 0 0 0,-95.47,,,47.67,,-16.93,,-21.79,,38.41,,-42.5,,-75.73,,-95.47,QC'd by Pharmacopeia
1976,4239446,3234553,Active,45,,,Inhibitor,3.9811,112.126,,Partial curve; high efficacy,-5.4,0.9,0.9937,-112.648,-0.5218,-2.1,0 0 0 0 0 0 0,-101.7,,,0.7965,,2.659,,-10.26,,-13.9,,-41.85,,-84.08,,-101.7,QC'd by Pharmacopeia
1977,4239447,3234554,Active,42,,,Inhibitor,10,80.413,,Partial curve; high efficacy,-5,4.9549,0.9935,-88.5827,-8.1697,-2.1,1 0 0 0 0 0 0,-88.02,,,110.8,,-2.607,,-9.579,,-10.39,,-9.702,,-62.15,,-88.02,QC'd by Pharmacopeia
1978,4239448,3234555,Inactive,0,,,Inactive,,,,,,,,,,4,,8.242,,,-19.33,,-45.89,,-10.56,,-5.942,,15.02,,3.475,,8.242,QC'd by Pharmacopeia
1979,4239449,3234556,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.96,,,12.62,,-7.366,,9.212,,14.14,,14.12,,-39.69,,-23.96,QC'd by Pharmacopeia
1980,4239450,3234557,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.95,,,-26.81,,-9.557,,-2.86,,-5.664,,-9.158,,-23.86,,-4.95,QC'd by Pharmacopeia
1981,4239451,3234558,Inconclusive,21,,,Inhibitor,15.8489,56.0477,,Partial curve; partial efficacy,-4.8,1.7137,0.9825,-60.0339,-3.9861,-2.2,1 0 0 1 0 0 0,-54.6,,,37.63,,-7.51,,0.2613,,54.49,,-7.255,,-23.2,,-54.6,QC'd by Pharmacopeia
1982,4239452,3234559,Active,40,,,Inhibitor,25.1189,81.464,,Partial curve; partial efficacy,-4.6,1.4781,0.9473,-81.279,0.185,-2.2,0 1 0 0 0 0 0,-62.47,,,-5.995,,34.18,,-1.571,,10.68,,-6.093,,-18.8,,-62.47,QC'd by Pharmacopeia
1983,4239453,3234560,Inactive,0,,,Inactive,,,,,,,,,,4,,16.99,,,-11.83,,11.08,,-5.117,,-14.25,,13.54,,25.8,,16.99,QC'd by Pharmacopeia
1984,4239454,3234561,Inconclusive,20,,,Inhibitor,39.8107,75.468,,Single point of activity,-4.4,4.4495,0.7507,-60.82,14.648,-3,1 0 0 0 0 0 0,-48.33,,,-20.11,,-13.57,,25.14,,17.48,,28.15,,16.82,,-48.33,QC'd by Pharmacopeia
1985,4239455,3234562,Active,40,,,Inhibitor,31.6228,89.1092,,Partial curve; high efficacy,-4.5,2.7202,0.9738,-100.438,-11.3289,-2.1,0 0 0 0 1 0 0,-85.67,,,-10.39,,-11,,-4.329,,-19.74,,45.53,,-16.16,,-85.67,QC'd by Pharmacopeia
1986,4239456,3234563,Inactive,0,,,Inactive,,,,,,,,,,4,,0.141,,,-29.06,,-1.704,,11.14,,-0.7472,,-29.99,,-33.03,,0.141,QC'd by Pharmacopeia
1987,4239457,3234564,Active,85,,,Inhibitor,3.1623,99.8511,,Complete curve; high efficacy,-5.5,4.5045,0.9816,-93.6139,6.2372,-1.1,0 0 0 0 0 0 0,-104,,,9.404,,7.138,,0.0841,,7.12,,-11.13,,-83.63,,-104,QC'd by Pharmacopeia
1988,4239458,3234565,Active,47,,,Inhibitor,2.5119,149.386,,Partial curve; high efficacy,-5.6,0.6,0.9823,-125.114,24.2725,-2.1,0 0 0 0 0 0 0,-101.6,,,26.15,,16.89,,-2.138,,-14.06,,-40.08,,-92.08,,-101.6,QC'd by Pharmacopeia
1989,4239459,3234566,Inactive,0,,,Inactive,,,,,,,,,,4,,3.393,,,-9.219,,-3.699,,8.462,,-23.03,,19.05,,-6.721,,3.393,QC'd by Pharmacopeia
1990,4239460,3234567,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.88,,,-14.05,,-15.13,,-14.51,,33.43,,4.05,,21.17,,-25.88,QC'd by Pharmacopeia
1991,4239461,3234568,Active,92,,,Inhibitor,0.1259,113.574,,Complete curve; high efficacy,-6.9,1.2216,0.897,-99.4304,14.144,-1.1,0 0 0 0 0 0 0,-108.2,,,-7.079,,33.24,,-47.53,,-70.23,,-89.28,,-101.7,,-108.2,QC'd by Pharmacopeia
1992,4239462,3234569,Inactive,0,,,Inactive,,,,,,,,,,4,,-29.82,,,-22.49,,-1.954,,22.04,,19.62,,-13.72,,-1.461,,-29.82,QC'd by Pharmacopeia
1993,4239463,3234570,Inactive,0,,,Inactive,,,,,,,,,,4,,1.228,,,6.676,,10.82,,2.318,,5.495,,1.735,,-9.593,,1.228,QC'd by Pharmacopeia
1994,4239464,3234571,Active,44,,,Inhibitor,6.3096,155.722,,Partial curve; high efficacy,-5.2,0.7,0.8965,-106.255,49.467,-2.1,0 0 0 0 0 0 0,-82.3,,,50.34,,67.6,,7.46,,39.11,,-0.5901,,-41.5,,-82.3,QC'd by Pharmacopeia
1995,4239465,3234572,Inactive,0,,,Inactive,,,,,,,,,,4,,13.32,,,1.237,,-0.0572,,1.594,,10.23,,-8.245,,9.317,,13.32,QC'd by Pharmacopeia
1996,4239466,3234573,Active,44,,,Inhibitor,5.0119,85.861,,Partial curve; high efficacy,-5.3,1.2221,0.9455,-91.1945,-5.3335,-2.1,0 0 0 0 0 0 0,-87.94,,,-20.01,,5.395,,-6.702,,-2.211,,-31.79,,-66.3,,-87.94,QC'd by Pharmacopeia
1997,4239467,3234574,Inactive,0,,,Inactive,,,,,,,,,,4,,-10.52,,,-8.02,,41.9,,0.1573,,39.72,,-7.145,,55.37,,-10.52,QC'd by Pharmacopeia
1998,4239468,3234575,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.93,,,5.075,,17.92,,14.55,,30.62,,23.32,,14.5,,-40.93,QC'd by Pharmacopeia
1999,4239469,3234576,Active,43,,,Inhibitor,10,93.8984,,Partial curve; high efficacy,-5,1.331,0.9809,-107.549,-13.6508,-2.1,0 0 0 0 0 0 0,-96.68,,,-16.7,,-18.2,,-13.59,,-6.348,,-26.1,,-68.96,,-96.68,QC'd by Pharmacopeia
2000,4239470,3234577,Inactive,0,,,Inactive,,,,,,,,,,4,,2.62,,,7.387,,15.26,,-2.941,,-11.24,,-12.17,,-14.99,,2.62,QC'd by Pharmacopeia
2001,4239471,3234578,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.67,,,6.666,,0.5421,,-0.7769,,54.21,,-8.632,,25.5,,-23.67,QC'd by Pharmacopeia
2002,4239472,3234579,Inconclusive,20,,,Inhibitor,25.1189,27.828,,Partial curve; partial efficacy,-4.6,4.5045,0.821,-48.972,-21.144,-2.2,0 0 0 0 0 1 0,-48.31,,,-17.83,,-17.89,,-31.19,,-17.62,,-20.61,,6.304,,-48.31,QC'd by Pharmacopeia
2003,4239473,3234580,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.06,,,-2.484,,-25.16,,14.45,,-7.883,,19.44,,12.92,,-17.06,QC'd by Pharmacopeia
2004,4239474,3234581,Inactive,0,,,Inactive,,,,,,,,,,4,,-27.81,,,-1.689,,-2.667,,-17.06,,-10.34,,2.303,,-18.56,,-27.81,QC'd by Pharmacopeia
2005,4239475,3234582,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.02,,,2.048,,40.64,,30.76,,-43.04,,3.014,,-1.924,,-30.02,QC'd by Pharmacopeia
2006,4239476,3234583,Inactive,0,,,Inactive,,,,,,,,,,4,,-35.65,,,-11.92,,18.4,,2.574,,-15.5,,-21,,-1.85,,-35.65,QC'd by Pharmacopeia
2007,4239477,3234584,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.546,,,8.684,,33.43,,-2.727,,-5.09,,8.992,,0.7728,,-4.546,QC'd by Pharmacopeia
2008,4239478,3234585,Active,44,,,Inhibitor,5.0119,116.522,,Partial curve; partial efficacy,-5.3,0.5,0.9775,-98.0805,18.441,-2.2,1 0 0 0 0 0 0,-77.8,,,42.86,,16.61,,-1.931,,-9.686,,-24.75,,-48.49,,-77.8,QC'd by Pharmacopeia
2009,4239479,3234586,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.37,,,-1.406,,11.45,,-9.432,,-30.76,,53.9,,10.51,,-14.37,QC'd by Pharmacopeia
2010,4239480,3234587,Active,63,,,Inhibitor,3.9811,88.468,,Complete curve; partial efficacy,-5.4,2.3531,0.9964,-69.788,18.68,-1.2,0 0 0 0 0 0 0,-70.39,,,21.41,,21.11,,16.89,,17.17,,-3.85,,-61.08,,-70.39,QC'd by Pharmacopeia
2011,4239481,3234588,Inconclusive,20,,,Inhibitor,39.8107,79.3038,,Single point of activity,-4.4,4.9549,0.8501,-95.1642,-15.8604,-3,0 0 0 0 0 1 0,-83.76,,,-7.02,,-29.11,,-32.53,,-9.51,,-6.804,,33.43,,-83.76,QC'd by Pharmacopeia
2012,4239482,3234589,Inactive,0,,,Inactive,,,,,,,,,,4,,-43.52,,,-18.55,,-20.83,,18.04,,16.73,,-0.7147,,8.388,,-43.52,QC'd by Pharmacopeia
2013,4239483,3234590,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.46,,,3.364,,-23.58,,76.79,,-11.39,,-10.32,,-0.3788,,-14.46,QC'd by Pharmacopeia
2014,4239484,3234591,Active,42,,,Inhibitor,10,86.7714,,Partial curve; high efficacy,-5,4.9549,0.8731,-90.6872,-3.9158,-2.1,1 0 0 0 0 0 0,-90.49,,,-28.87,,-6.668,,-24.34,,21.39,,-5.991,,-61.65,,-90.49,QC'd by Pharmacopeia
2015,4239485,3234592,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.52,,,-21.97,,8.279,,7.31,,0.6803,,1.85,,-15.76,,-40.52,QC'd by Pharmacopeia
2016,4239486,3234593,Active,45,,,Inhibitor,5.0119,148.487,,Partial curve; high efficacy,-5.3,0.6,0.978,-134.2,14.2872,-2.1,0 0 0 0 0 0 0,-103.4,,,13.29,,15.66,,-6.434,,-18.92,,-33.04,,-85.14,,-103.4,QC'd by Pharmacopeia
2017,4239487,3234594,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.37,,,-2.397,,20.34,,21.99,,12.69,,-9.699,,-20.9,,-7.37,QC'd by Pharmacopeia
2018,4239488,3234595,Inconclusive,20,,,Inhibitor,25.1189,82.746,,Single point of activity,-4.6,2.8473,0.9528,-72.746,10,-3,1 0 0 0 0 0 0,-65.43,,,41.45,,13.48,,11.53,,-2.785,,16.87,,2.329,,-65.43,QC'd by Pharmacopeia
2019,4239489,3234596,Inactive,0,,,Inactive,,,,,,,,,,4,,3.5,,,-26.1,,-19.2,,-5.664,,-39.42,,-30.55,,-14.42,,3.5,QC'd by Pharmacopeia
2020,4239490,3234597,Inconclusive,20,,,Inhibitor,0.3162,90.4485,,Partial curve; high efficacy; poor fit,-6.5,2.7868,0.6762,-50.7928,39.6557,-2.3,0 0 0 0 1 0 0,-85.49,,,4.03,,76.37,,37.02,,-27.58,,42.86,,-16.11,,-85.49,QC'd by Pharmacopeia
2021,4239491,3234598,Inconclusive,20,,,Inhibitor,39.8107,87.012,,Single point of activity,-4.4,4.9549,0.7258,-77.512,9.5,-3,0 0 0 0 0 0 0,-65.01,,,17.69,,-13.57,,5.787,,-10.68,,29.62,,28.66,,-65.01,QC'd by Pharmacopeia
2022,4239492,3234599,Active,84,,,Inhibitor,5.0119,89.0016,,Complete curve; high efficacy,-5.3,1.5579,0.908,-100.398,-11.3961,-1.1,0 0 0 0 0 0 0,-100.2,,,-25.52,,-17.57,,-28.59,,-1.251,,-33.65,,-78.66,,-100.2,QC'd by Pharmacopeia
2023,4239493,3234600,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.15,,,6.096,,-8.835,,-4.163,,19.53,,5.942,,-1.388,,-34.15,QC'd by Pharmacopeia
2024,4239494,3234601,Active,40,,,Inhibitor,25.1189,74.62,,Partial curve; partial efficacy,-4.6,1.6259,0.9809,-95.133,-20.513,-2.2,0 0 0 0 1 0 0,-79.79,,,-15.94,,-26.13,,-19.62,,-21.46,,8.899,,-36.15,,-79.79,QC'd by Pharmacopeia
2025,4239495,3234602,Inconclusive,20,,,Inhibitor,39.8107,93.9516,,Single point of activity,-4.4,4.9549,0.7926,-97.0758,-3.1242,-3,0 0 0 0 1 0 0,-83.5,,,20.64,,-27.66,,-13.15,,-4.268,,193.3,,8.337,,-83.5,QC'd by Pharmacopeia
2026,4239496,3234603,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.02,,,46.52,,31.76,,-9.485,,-11.17,,12.55,,8.931,,-19.02,QC'd by Pharmacopeia
2027,4239497,3234604,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.66,,,-13.43,,17.51,,-2.639,,23.41,,10.88,,21.91,,-26.66,QC'd by Pharmacopeia
2028,4239498,3234605,Inactive,0,,,Activator,5.0119,35.43,,Single point of activity,-5.3,4.9549,0.4573,29.445,-5.985,3,0 1 0 0 0 0 0,1.863,,,0.2564,,64.5,,-1.867,,-0.4905,,-22.46,,57.32,,1.863,QC'd by Pharmacopeia
2029,4239499,3234606,Inactive,0,,,Activator,25.1189,73.684,,Single point of activity,-4.6,3.9295,0.6908,53.116,-20.568,3,0 0 1 0 0 0 0,50.46,,,13.03,,-37.74,,40.18,,-40.66,,-16.37,,-17.24,,50.46,QC'd by Pharmacopeia
2030,4239500,3234607,Inactive,0,,,Inactive,,,,,,,,,,4,,6.362,,,-37.46,,-13.51,,-2.516,,-9.866,,-19.57,,14.22,,6.362,QC'd by Pharmacopeia
2031,4239501,3234608,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.528,,,-16.14,,-13.08,,13.26,,-6.213,,-36.65,,8.71,,-2.528,QC'd by Pharmacopeia
2032,4239502,3234609,Inconclusive,20,,,Inhibitor,25.1189,66.363,,Single point of activity,-4.6,3.132,0.8473,-62.214,4.149,-3,0 0 0 0 0 0 0,-57.51,,,5.288,,0.0096,,9.847,,-12.89,,19.51,,-0.9894,,-57.51,QC'd by Pharmacopeia
